ethan saw road dusk, Medieval Fantasy style
glowing, Medieval Fantasy style
icy shiver crawled spine, Photorealistic style
matter went feeling followed home, Minimalist style
night lay staring ceiling shake image eyes, Minimalist style
realized something, Photorealistic style
glowing eyes rearview mirror, Minimalist style
reflected windshield, Minimalist style
watching passenger seat, Dark Fantasy style
ethan slept, Photorealistic style
waiting, Whimsical style
gripped phone climbed rusted barbed wire, Medieval Fantasy style
fence post beside, Fantasy style
something resting picked grinning, Victorian style
breath hitched, Minimalist style
ethan ran, Fantasy style
scrambled fence bolted car tore road looking, Renaissance style
phone buzzed, Victorian style
photo taken, Photorealistic style
hands trembling opened gallery, Realistic style
picture taken, Dark Fantasy style
photo bedroom, Realistic style
photo, Realistic style
asleep, Illustrative style
corner room swallowed, Renaissance style
eyes, Medieval Fantasy style
watching, Dark Fantasy style
waiting, Dark Fantasy style
